Number,Months_Exp:Skills
"29953:144":[]
"3183:0":[]
"56383:0":[]
"43654:72":[]
"25789:48":[]
"32608:72":[]
"55821:0":[]
"12639:84":[]
"15645:180":[]
"1941:0":[]
"12606:0":[]
"35573:10":[]
"46730:44":[]
"25115:0":[]
"43131:119":[]
"55050:112":[]
"21768:0":[]
"30915:58":[]
"16161:0":[]
"1072:24":[]
"52917:0":[]
"37587:12":[XML,Json,DataBase]
"26678:204":[]
"22686:0":[]
"49389:56":[]
"20088:0":[]
"54522:0":[]
"1791:52":[]
"19501:0":[Xcode,core data programming,Json parsing,iPhone unit testing by GTMUnittesting Framework,Interface Builder,Xml Parsing,Google Maps API,APNS,NSUser Credentials,bit.ly service,Address book programming etc,PHP,JSON Parsing,Google maps etc,Cocos-2d,Chipmunk,Facebook Integration,Sqlite]
"26887:5":[]
"7266:0":[]
"56946:0":[]
"5357:0":[]
"19532:0":[]
"25933:0":[JSF,Richfaces,Struts,JSP,Servlet,Spring,Hibernate,JPA(Toplink),JDBC,Ajax,XML,XSD,DTD,XSL,XSLT,DOM,SAX,Stax,Html,JavaScript,Axis,JAX-WS,Oracle RDBMS,Sybase RDBMS;]
"42759:0":[]
"50944:272":[]
"29601:22":[]
"33461:11":[]
"41376:156":[]
"44863:0":[]
"52324:71":[]
"7451:168":[]
"27421:0":[]
"35227:0":[html,css,php 5(OOP),javascript,jQuery,ajax,mysql),]
"46031:35":[]
"47494:0":[]
"22769:0":[]
"53525:0":[]
"18232:81":[]
"38220:212":[]
"38171:0":[]
"53758:0":[]
"8445:84":[]
"51091:0":[]
"23116:77":[]
"5322:24":[]
"47397:0":[]
"20220:172":[]
"7991:62":[]
"4022:0":[]
"24431:0":[C#,.NET Compact Framework,Windows Mobile 6 SDK,Windows Phone 7 SDK,Java SE,Android SDK,Mobclix SDK,XML,DHTML,.NET,WPF,XMPP]
"54151:0":[]
"12837:0":[]
"29498:0":[]
"43709:41":[]
"7273:6":[]
"9225:61":[]
"56405:0":[]
"35520:0":[]
"18309:0":[]
"33829:176":[]
"24894:78":[]
"37501:24":[]
"16428:37":[]
"9732:0":[]
"4366:36":[]
"9529:0":[]
"42453:0":[]
"36979:120":[]
"46338:284":[]
"28716:0":[]
"529:0":[]
"48030:0":[]
"40810:0":[]
"41443:0":[]
"4217:0":[]
"27572:192":[]
"25482:49":[Windows Server 2003,Free-BSD]
"50566:12":[apache,php,*nix,javascript,nodejs,phonegap,rest,wordpress,joomla,git,html,css,python,ORM,websockets,mysql,Teamlead]
"49495:0":[]
"3602:8":[]
"10842:0":[]
"24997:35":[]
"55207:0":[]
"56340:240":[]
"44916:0":[]
"14227:29":[]
"25299:93":[]
"37230:46":[]
"45470:0":[]
"49619:0":[]
"48925:110":[]
"7695:78":[]
"48006:11":[]
"20342:0":[]
"52394:0":[]
"49176:51":[]
"56849:0":[]
"34579:48":[]
"53558:12":[]
"26199:24":[]
"41848:47":[]
"17859:0":[.NET 2.0 (web application),WSS 3.0,SQL Server 2005,Web Services,MOSS  2007,Commerce Server 2007,SQL Server 2005,.NET (web application),MS Commerce Server 2007 Release Candidate,Windows Share Point Services,Microsoft Biztalk Server 2006,MS Exchange Server,MS OUTLOOK,Visual C++ (desktop application),Stubs made in .Net were used for testing of the component,Java,Visual C++ (Desktop application)]
"45466:0":[]
