"Number","skills","Month_Exper"
"445","","40"
"446","","14"
"447","","24"
"448","","106"
"451","","0"
"452","","164"
"453","","0"
"454","","0"
"455","","0"
"456","","0"
"458","","0"
"461","","0"
"464","","120"
"465","","0"
"466","","94"
"467","","0"
"469","","0"
"470","","0"
"471","","0"
"472","C#","182"
"472","C++","182"
"472","COM","182"
"472","Speech API","182"
"472","Real-Time Communication Client API","182"
"472","Windows Media Encoder API","182"
"472","ADO.NET","182"
"472","ASP.NET","182"
"472","ATL","182"
"472",".NET Framework 2.0","182"
"472","SQL Server","182"
"472","MFC","182"
"472","XPCOM","182"
"472","XML","182"
"472","XUL","182"
"472","WPF/WCF","182"
"472",".NET Framework 2.0 --- 4.0","182"
"472","SOAP WebServices","182"
"472","AddIn Express","182"
"472","MAPI","182"
"472","Apex (Java)","182"
"472","VisualForce","182"
"472","HTML","182"
"472","Javascript","182"
"472","Ajax","182"
"472","Sencha (ExtJS 3)","182"
"472","SOQL (Salesforce Object Query Language)","182"
"472","CryptoAPI","182"
"472","XUL","182"
"472","Codejoke Library","182"
"474","","36"
"475","","0"
"477","","117"
"478","","0"
"479","","0"
"480","","0"
"483","","0"
"484","","0"
"488","","0"
"489","","120"
"490","","0"
"491","","0"
"494","","0"
"495","","0"
"498","","244"
"499","","0"
"500","","46"
"502","","0"
"503","","0"
"505","","0"
"506","","0"
"507","","240"
"509","","0"
"510","","0"
"511","","72"
"513","MSSQL 2000","240"
"513","MSSQL 2005","240"
"513","MSSQL 2008 R2 Express","240"
"513","VFP 9.0","240"
"513","Visual SourceSafe","240"
"513","ETL","240"
"513","OLAP","240"
"513","SSIS","240"
"513","SSAS","240"
"513","DB2","240"
"513","TFS","240"
"513","MSSQL 2005/2008/2012","240"
"513","Failover Clusters","240"
"513","DBMoto Database Replication","240"
"513","Clipper","240"
"513","FoxPro","240"
"513","Visual FoxPro","240"
"513","SYBASE ASE 12.5","240"
"513","SYBASE ASA","240"
"513","VFP","240"
"513","Novell","240"
"517","","122"
"518","","24"
"523","","60"
"525","","0"
"527","","0"
"529","","0"
"531","","0"
"534","","0"
"536","","0"
"537","","0"
"539","","0"
"541","","0"
"543","","0"
"544","","0"
"545","","0"
"546","","0"
"547","","60"
"551","","0"
"552","","0"
"554","","108"
"555","","0"
"556","","116"
"557","","0"
"559","","0"
"560","","0"
"562","ASP","87"
"562","MSSql 2000","87"
"562","Java","87"
"562","BlackBerry","87"
"562","Android","87"
"563","","156"
"564","","60"
"565","","0"
"566","","0"
"567","","0"
"573","","0"
"576","","0"
"577","Drupal","144"
"577","MySQL","144"
"577","jQuery","144"
"579","","0"
"580","","0"
"584","","0"
"587","","0"
"588","","116"
"589","","0"
"590","","0"
"592","SAP Netweaver","167"
"592","SAP ECC 6.0","167"
"592","VB 6.0 + MS Access + MS SQL 2000. Multi-layer design (4-layers: transaction layer and application logic layer","167"
"592","persistence and UI). Middle layer: dll on Visual Basic 6.0 (COM - objects). Documenting + skeleton generation: Rational Rose 2000","167"
"592","MS Access","167"
"592","Java SE 1.4","167"
"592","Struts 1.1","167"
"592","JSP","167"
"592","SAP NetWeaver 7.3","167"
"592","SAP NWDI","167"
"593","","0"
"600","","48"
"601","","38"
"604","","134"
"605","","24"
"606","","16"
"607","","82"
"608","","194"
"609","C#","169"
"609","Delphi","169"
"609","C++","169"
"611","","106"
"612","","112"
"613","","216"
"615","","48"
"616","","12"
"618","","11"
"619","","205"
"621","","98"
"623","","153"
"624","","204"
"625","","71"
"626","","83"
"627","Borland C","345"
"627","Clipper","345"
"627","MS-DOS","345"
"627","Foxbase","345"
"627","Foxpro 2.x","345"
"627","Visual Basic 6.0","345"
"627","VBA","345"
"627","ASP","345"
"627","VBScript","345"
"627","JScript","345"
"627","HTML","345"
"627","DHTML","345"
"627","IIS","345"
"627","Access 2000","345"
"627","MS SQL Server 2000","345"
"627","T-SQL","345"
"627","SQL","345"
"627","Windows NT 4.0/2000","345"
"627","Word","345"
"627","Excel","345"
"627","COM","345"
"627","ADO","345"
"627","ODBC","345"
"627","ActiveX","345"
"627","PHP","345"
"627","Apache,MySQL,FTP,SSH,Typo3 CMS,Snapshot Viewer,Crystal Report,Photoshop","345"
"627","MS SQL Server 7.0","345"
"627","Windows NT 4.0","345"
"627","Windows 2000","345"
"627","Terminal Server Windows 2000","345"
"627","Outlook","345"
"627","MS Visual Basic 6.0","345"
"627","Sybase Adaptive Server Anywhere 6.0","345"
"627","MS SQL Server 7.1","345"
"627","Access","345"
"627","DAO","345"
"627","DCOM","345"
"627","C#","345"
"627","COM+","345"
"627","NUnit","345"
"627","VS 2005","345"
"627","Composite UI","345"
"627","Enterprise Library","345"
"627","VB6","345"
"627","Web Services","345"
"627","Perforce P4Win","345"
"627","ASP.Net","345"
"627","XML","345"
"627","VB.NET","345"
"627","MS Visio","345"
"627","Visual C++ 6.0","345"
"627","Windows XP","345"
"627","Watcom C/C++","345"
"627","QNX 4.25","345"
"627","Photon AB","345"
"627","Sybase SQL Anywhere 5.0","345"
"627","TCP/IP","345"
"627","Crystal Reports","345"
"627","ASP.NET","345"
"627","JavaScript","345"
"627","ASP.Net MVC2","345"
"627","VS2010","345"
"627","jQuery","345"
"627","NHibernate","345"
"627","WCF","345"
"627","MS SQL Server 2008","345"
"627","JSON","345"
"627","Ajax","345"
"627","LINQ","345"
"627","SVN","345"
"627","MS SQL Server Reporting Services","345"
"628","","9"
"630","","117"
"632","","27"
"633","","58"
"634","","33"
"636","","20"
"640","","0"
"641","","48"
"644","","72"
"645","","12"
"649","","0"
"652","","120"
"655","","0"
"657","","97"
"661","","0"
"663","","0"
"664","","0"
"666","","0"
"668","","0"
"669","","0"
"670","","0"
"671","","0"
"672","","0"
"674","","58"
"675","","0"
"679","","99"
"680","","165"
"681","","529"
"682","","3"
"683","","252"
"684","","3"
"685","","64"
"687","","202"
"688","","200"
"689","","0"
"692","","0"
"695","","34"
"697","","18"
"698","","45"
"700","","0"
"702","","18"
"703","C/C++","105"
"703","Java","105"
"703","HTML/JavaScript","105"
"703","PHP","105"
"703","MySQL","105"
"703","Eclipse","105"
"703","Jira","105"
"703","Bugzilla","105"
"703","Perl","105"
"703","Bash","105"
"703","JavaScript","105"
"703","XML","105"
"703","Jira","105"
"703","JavaScript/jQuery/jQuery UI/XML/JSON","105"
"703","Closure Compile/Linter","105"
"703","ANT","105"
"703","Tomcat","105"
"703","HTML","105"
"703","GIT","105"
"705","","109"
"706","","24"
"707","","17"
"709","","15"
"710","","57"
"711","","0"
"712","","17"
"713","","28"
"714","","24"
"716","","42"
